"Index","Name","Url","Status","UpdatedAt"
"1","(CP) I Fixed Him - A Shane Consistency Mod","https://www.nexusmods.com/stardewvalley/mods/21660","done","2026-07-12 12:27:53"
"2","Add Berry Seasons to Calendar","https://www.nexusmods.com/stardewvalley/mods/10477","done","2026-07-12 12:27:53"
"3","Additional Farm Cave","https://www.nexusmods.com/stardewvalley/mods/14109","done","2026-07-12 12:27:53"
"4","Animated Clothes","https://www.nexusmods.com/stardewvalley/mods/6117","done","2026-07-12 12:27:53"
"5","Animated East Scarp Fish","https://www.nexusmods.com/stardewvalley/mods/10913","done","2026-07-12 12:27:53"
"6","Animated Fish","https://www.nexusmods.com/stardewvalley/mods/5735","done","2026-07-12 12:27:53"
"7","Animated Fish SVE","https://www.nexusmods.com/stardewvalley/mods/6089","done","2026-07-12 12:27:53"
"8","Animated Food and Drinks","https://www.nexusmods.com/stardewvalley/mods/5607","done","2026-07-12 12:27:53"
"9","Animated Furniture and Stuff","https://www.nexusmods.com/stardewvalley/mods/5662","done","2026-07-12 12:27:53"
"10","Animated Gemstones 1.1.7","https://www.nexusmods.com/stardewvalley/mods/4986","done","2026-07-12 12:27:53"
"11","Animated Ridgeside Village Fish","https://www.nexusmods.com/stardewvalley/mods/7353","done","2026-07-12 12:27:53"
"12","Animated Slime Eggs and Loot","https://www.nexusmods.com/stardewvalley/mods/5642","done","2026-07-12 12:27:53"
"13","Anniversary on Calendar","https://www.nexusmods.com/stardewvalley/mods/8351","done","2026-07-12 12:27:53"
"14","Automate","https://www.nexusmods.com/stardewvalley/mods/1063","link-ok","2026-07-12 12:20:29"
"15","Better Always Active (No Pause On Transitions - Load Screens - Window)","https://www.nexusmods.com/stardewvalley/mods/43356","done","2026-07-12 12:27:53"
"16","Better Crafting","https://www.nexusmods.com/stardewvalley/mods/11115","done","2026-07-12 12:27:53"
"17","Better Signs - Lock Signs to Prevent Accidental Changes","https://www.nexusmods.com/stardewvalley/mods/7482","link-ok","2026-07-12 12:20:30"
"18","Buildable Ginger Island Farm","https://www.nexusmods.com/stardewvalley/mods/20600","done","2026-07-12 12:27:53"
